country,link,bus0,bus1,bus2,bus3,type,carrier,p_nom,p_nom_extendable,p_nom_max_2023,p_nom_max_2030,p_nom_max_2035,p_nom_min_2023,p_nom_min_2030,p_nom_min_2035
KZ,KZ_HRDCN_to_KZ_NR_IND-HH_by_IND_BOILER,KZ_HRDCN,KZ_NR_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Hrdc,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_HRDCN_to_KZ_SO_IND-HH_by_IND_BOILER,KZ_HRDCN,KZ_SO_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Hrdc,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_HRDCN_to_KZ_WS_IND-HH_by_IND_BOILER,KZ_HRDCN,KZ_WS_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Hrdc,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_HRDCN_to_KZ_NR_IND-LH_by_IND_BOILER,KZ_HRDCN,KZ_NR_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Hrdc,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_HRDCN_to_KZ_SO_IND-LH_by_IND_BOILER,KZ_HRDCN,KZ_SO_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Hrdc,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_HRDCN_to_KZ_WS_IND-LH_by_IND_BOILER,KZ_HRDCN,KZ_WS_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Hrdc,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_OILN_to_KZ_NR_IND-HH_by_IND_BOILER,KZ_OILN,KZ_NR_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Oil,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_OILN_to_KZ_SO_IND-HH_by_IND_BOILER,KZ_OILN,KZ_SO_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Oil,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_OILN_to_KZ_WS_IND-HH_by_IND_BOILER,KZ_OILN,KZ_WS_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Oil,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_OILN_to_KZ_NR_IND-LH_by_IND_BOILER,KZ_OILN,KZ_NR_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Oil,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_OILN_to_KZ_SO_IND-LH_by_IND_BOILER,KZ_OILN,KZ_SO_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Oil,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_OILN_to_KZ_WS_IND-LH_by_IND_BOILER,KZ_OILN,KZ_WS_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Oil,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_GASN_to_KZ_NR_IND-HH_by_IND_BOILER,KZ_GASN,KZ_NR_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Gas,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_GASN_to_KZ_SO_IND-HH_by_IND_BOILER,KZ_GASN,KZ_SO_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Gas,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_GASN_to_KZ_WS_IND-HH_by_IND_BOILER,KZ_GASN,KZ_WS_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Gas,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_GASN_to_KZ_NR_IND-LH_by_IND_BOILER,KZ_GASN,KZ_NR_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Gas,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_GASN_to_KZ_SO_IND-LH_by_IND_BOILER,KZ_GASN,KZ_SO_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Gas,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_GASN_to_KZ_WS_IND-LH_by_IND_BOILER,KZ_GASN,KZ_WS_IND-LH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Gas,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_BION_to_KZ_NR_IND-HH_by_IND_BOILER,KZ_BION,KZ_NR_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Bio,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_BION_to_KZ_SO_IND-HH_by_IND_BOILER,KZ_BION,KZ_SO_IND-HH,KZ_ATMP,KZ_CO2STORN,IND_BOILER,Bio,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
