country,bus,store,type,carrier,standing_loss,e_nom_extendable,e_nom,max_store_2023,max_store_2030,max_store_2035
KG,KG_BA_INLHSTORN,KG_BA_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_CH_INLHSTORN,KG_CH_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_JA_INLHSTORN,KG_JA_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_NR_INLHSTORN,KG_NR_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_OS_INLHSTORN,KG_OS_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_TL_INLHSTORN,KG_TL_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KG,KG_YK_INLHSTORN,KG_YK_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_NR_INLHSTORN,KZ_NR_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_SO_INLHSTORN,KZ_SO_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
KZ,KZ_WS_INLHSTORN,KZ_WS_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
UZ,UZ_UZ_INLHSTORN,UZ_UZ_INLHSTORN_STOR,INLHSTOR,Low_Heat,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here,Please fill here
