country,node,bus,profile_type,name,total_load__mwh,carrier,year
KG,KG_YK,KG_YK_TRAN-PUB,HPV_LOAD,KG_YK_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2030
KG,KG_YK,KG_YK_TRAN-PRV,LPV_LOAD,KG_YK_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2030
KG,KG_YK,KG_YK_TRAN-PUB,HPV_LOAD,KG_YK_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2035
KG,KG_YK,KG_YK_TRAN-PRV,LPV_LOAD,KG_YK_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2035
KZ,KZ_NR,KZ_NR_TRAN-PUB,HPV_LOAD,KZ_NR_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2023
KZ,KZ_NR,KZ_NR_TRAN-PRV,LPV_LOAD,KZ_NR_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2023
KZ,KZ_NR,KZ_NR_TRAN-PUB,HPV_LOAD,KZ_NR_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2030
KZ,KZ_NR,KZ_NR_TRAN-PRV,LPV_LOAD,KZ_NR_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2030
KZ,KZ_NR,KZ_NR_TRAN-PUB,HPV_LOAD,KZ_NR_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2035
KZ,KZ_NR,KZ_NR_TRAN-PRV,LPV_LOAD,KZ_NR_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2035
KZ,KZ_SO,KZ_SO_TRAN-PUB,HPV_LOAD,KZ_SO_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2023
KZ,KZ_SO,KZ_SO_TRAN-PRV,LPV_LOAD,KZ_SO_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2023
KZ,KZ_SO,KZ_SO_TRAN-PUB,HPV_LOAD,KZ_SO_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2030
KZ,KZ_SO,KZ_SO_TRAN-PRV,LPV_LOAD,KZ_SO_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2030
KZ,KZ_SO,KZ_SO_TRAN-PUB,HPV_LOAD,KZ_SO_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2035
KZ,KZ_SO,KZ_SO_TRAN-PRV,LPV_LOAD,KZ_SO_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2035
KZ,KZ_WS,KZ_WS_TRAN-PUB,HPV_LOAD,KZ_WS_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2023
KZ,KZ_WS,KZ_WS_TRAN-PRV,LPV_LOAD,KZ_WS_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2023
KZ,KZ_WS,KZ_WS_TRAN-PUB,HPV_LOAD,KZ_WS_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2030
KZ,KZ_WS,KZ_WS_TRAN-PRV,LPV_LOAD,KZ_WS_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2030
KZ,KZ_WS,KZ_WS_TRAN-PUB,HPV_LOAD,KZ_WS_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2035
KZ,KZ_WS,KZ_WS_TRAN-PRV,LPV_LOAD,KZ_WS_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2035
UZ,UZ_UZ,UZ_UZ_TRAN-PUB,HPV_LOAD,UZ_UZ_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2023
UZ,UZ_UZ,UZ_UZ_TRAN-PRV,LPV_LOAD,UZ_UZ_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2023
UZ,UZ_UZ,UZ_UZ_TRAN-PUB,HPV_LOAD,UZ_UZ_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2030
UZ,UZ_UZ,UZ_UZ_TRAN-PRV,LPV_LOAD,UZ_UZ_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2030
UZ,UZ_UZ,UZ_UZ_TRAN-PUB,HPV_LOAD,UZ_UZ_TRAN-PUB_HPV_LOAD,Please fill here,Electricity,2035
UZ,UZ_UZ,UZ_UZ_TRAN-PRV,LPV_LOAD,UZ_UZ_TRAN-PRV_LPV_LOAD,Please fill here,Electricity,2035
