country,node,bus,profile_type,name,total_load__mwh,carrier,year
KG,KG_KG,KG_KG_HVELEC,HV_LOAD,KG_KG_HVELEC_HV_LOAD,17189701,Electricity,2023
KZ,KZ_NR,KZ_NR_HVELEC,HV_LOAD,KZ_NR_HVELEC_HV_LOAD,78374000,Electricity,2023
KZ,KZ_SO,KZ_SO_HVELEC,HV_LOAD,KZ_SO_HVELEC_HV_LOAD,25181000,Electricity,2023
KZ,KZ_WS,KZ_WS_HVELEC,HV_LOAD,KZ_WS_HVELEC_HV_LOAD,14345000,Electricity,2023
UZ,UZ_UZ,UZ_UZ_HVELEC,HV_LOAD,UZ_UZ_HVELEC_HV_LOAD,80755700,Electricity,2023
KG,KG_KG,KG_KG_HVELEC,HV_LOAD,KG_KG_HVELEC_HV_LOAD,28000000,Electricity,2030
KZ,KZ_NR,KZ_NR_HVELEC,HV_LOAD,KZ_NR_HVELEC_HV_LOAD,97785000,Electricity,2030
KZ,KZ_SO,KZ_SO_HVELEC,HV_LOAD,KZ_SO_HVELEC_HV_LOAD,31418000,Electricity,2030
KZ,KZ_WS,KZ_WS_HVELEC,HV_LOAD,KZ_WS_HVELEC_HV_LOAD,17897000,Electricity,2030
UZ,UZ_UZ,UZ_UZ_HVELEC,HV_LOAD,UZ_UZ_HVELEC_HV_LOAD,116700000,Electricity,2030
KG,KG_KG,KG_KG_HVELEC,HV_LOAD,KG_KG_HVELEC_HV_LOAD,39400000,Electricity,2035
KZ,KZ_NR,KZ_NR_HVELEC,HV_LOAD,KZ_NR_HVELEC_HV_LOAD,101308000,Electricity,2035
KZ,KZ_SO,KZ_SO_HVELEC,HV_LOAD,KZ_SO_HVELEC_HV_LOAD,32550000,Electricity,2035
KZ,KZ_WS,KZ_WS_HVELEC,HV_LOAD,KZ_WS_HVELEC_HV_LOAD,18542000,Electricity,2035
UZ,UZ_UZ,UZ_UZ_HVELEC,HV_LOAD,UZ_UZ_HVELEC_HV_LOAD,134500000,Electricity,2035
