country,node,type,carrier,bus,name,p_nom,p_nom_extendable,p_nom_max_2023,p_nom_max_2030,p_nom_max_2035,p_nom_min_2023,p_nom_min_2030,p_nom_min_2035
KZ,KZ_NR,HDAM,Water,KZ_NR_HVELEC,KZ_NR_HVELEC_HDAM,1745,TRUE,0,92,0,0,92,0
KZ,KZ_SO,HDAM,Water,KZ_SO_HVELEC,KZ_SO_HVELEC_HDAM,790,TRUE,0,40,0,0,40,0
KG,KG_KG,HDAM,Water,KG_KG_HVELEC,KG_KG_HVELEC_HDAM,3136.24,TRUE,0,2989.3,1860,0,2989.3,1860
UZ,UZ_UZ,HDAM,Water,UZ_UZ_HVELEC,UZ_UZ_HVELEC_HDAM,2100,TRUE,0,3400,0,0,3400,0
KG,KG_KG,HROR,Water,KG_KG_HVELEC,KG_KG_HVELEC_HROR,19.1,TRUE,0,63.3,0,0,63.3,0
KZ,KZ_NR,HROR,Water,KZ_NR_HVELEC,KZ_NR_HVELEC_HROR,70,TRUE,0,1,0,0,1,0
KZ,KZ_SO,HROR,Water,KZ_SO_HVELEC,KZ_SO_HVELEC_HROR,298,TRUE,0,1764,0,0,1764,0
UZ,UZ_UZ,HROR,Water,UZ_UZ_HVELEC,UZ_UZ_HVELEC_HROR,100,TRUE,0,0,0,0,0,0
KG,KG_KG,PHOT,Solar,KG_KG_HVELEC,KG_KG_HVELEC_PHOT,0,TRUE,0,3034,0,0,3034,0
KZ,KZ_NR,PHOT,Solar,KZ_NR_HVELEC,KZ_NR_HVELEC_PHOT,406,TRUE,0,0,0,0,0,0
KZ,KZ_SO,PHOT,Solar,KZ_SO_HVELEC,KZ_SO_HVELEC_PHOT,898,TRUE,0,602,0,0,602,0
KZ,KZ_WS,PHOT,Solar,KZ_WS_HVELEC,KZ_WS_HVELEC_PHOT,2,TRUE,0,300,0,0,300,0
UZ,UZ_UZ,PHOT,Solar,UZ_UZ_HVELEC,UZ_UZ_HVELEC_PHOT,2600,TRUE,0,6700,0,0,6700,0
KG,KG_KG,WTOF,Wind,KG_KG_HVELEC,KG_KG_HVELEC_WTOF,0,TRUE,0,0,0,0,0,0
KZ,KZ_NR,WTOF,Wind,KZ_NR_HVELEC,KZ_NR_HVELEC_WTOF,0,TRUE,0,0,0,0,0,0
KZ,KZ_SO,WTOF,Wind,KZ_SO_HVELEC,KZ_SO_HVELEC_WTOF,0,TRUE,0,0,0,0,0,0
KZ,KZ_WS,WTOF,Wind,KZ_WS_HVELEC,KZ_WS_HVELEC_WTOF,0,TRUE,0,0,0,0,0,0
UZ,UZ_UZ,WTOF,Wind,UZ_UZ_HVELEC,UZ_UZ_HVELEC_WTOF,0,TRUE,0,0,0,0,0,0
KG,KG_KG,WTON,Wind,KG_KG_HVELEC,KG_KG_HVELEC_WTON,0,TRUE,0,580,0,0,580,0
KZ,KZ_NR,WTON,Wind,KZ_NR_HVELEC,KZ_NR_HVELEC_WTON,837,TRUE,0,1881,329,0,1881,329
KZ,KZ_SO,WTON,Wind,KZ_SO_HVELEC,KZ_SO_HVELEC_WTON,487,TRUE,0,1000,0,0,1000,0
KZ,KZ_WS,WTON,Wind,KZ_WS_HVELEC,KZ_WS_HVELEC_WTON,116,TRUE,0,650,34,0,650,34
UZ,UZ_UZ,WTON,Wind,UZ_UZ_HVELEC,UZ_UZ_HVELEC_WTON,900,TRUE,0,10500,7100,0,10500,7100
