country,technology,technology_nomenclature,carrier,class,efficiency,efficiency2,efficiency3,efficiency_store,max_hours,cyclic_state_of_charge,state_of_charge_initial,p_max_pu,p_min_pu,ramp_limit_down,ramp_limit_up,standing_loss,r_rating
UZ,SubC_RETRO,Subcritical coal power plant Retrofit,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SubC_RETRO,Subcritical coal power plant Retrofit,Lig,Link,0.33,0.353,0,,,,,1,0,0.76,0.58,,0.9
UZ,SupC,Supercritical coal power plant,Bit,Link,0.33,0.34,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SupC,Supercritical coal power plant,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SupC,Supercritical coal power plant,Lig,Link,0.33,0.363,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SupC_RETRO,Supercritical coal power plant Retrofit,Bit,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SupC_RETRO,Supercritical coal power plant Retrofit,Hrdc,Link,0.33,0.353,0,,,,,0.67,0,0.38,0.29,,0.9
UZ,SupC_RETRO,Supercritical coal power plant Retrofit,Lig,Link,0.33,0.353,0,,,,,1,0,0.76,0.58,,0.9
UZ,SWHT,Solar hot water heater,Solar,Generator,1,,,,,,,,0,1,1,,0
UZ,WSTT,Waste turbine,Waste,Link,0.317583333,0.359,0,,,,,1,0.2055,0.687333333,0.529333333,,0.9
UZ,WTOF,Offshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
UZ,WTON,Onshore Wind,Wind,Generator,1,,,,,,,,0,1,1,,0.2
