class,country,name,type,bus,technical_potential__mw
Generator,KZ,KZ_NR_HVELEC_PHOT,PHOT,KZ_NR_HVELEC,1206703
Generator,KZ,KZ_SO_HVELEC_PHOT,PHOT,KZ_SO_HVELEC,479370
Generator,KZ,KZ_WS_HVELEC_PHOT,PHOT,KZ_WS_HVELEC,214127
Generator,KZ,KZ_NR_HVELEC_RTPV,RTPV,KZ_NR_HVELEC,1206703
Generator,KZ,KZ_SO_HVELEC_RTPV,RTPV,KZ_SO_HVELEC,479370
Generator,KZ,KZ_WS_HVELEC_RTPV,RTPV,KZ_WS_HVELEC,214127
Generator,KZ,KZ_NR_HVELEC_WTON,WTON,KZ_NR_HVELEC,934418
Generator,KZ,KZ_SO_HVELEC_WTON,WTON,KZ_SO_HVELEC,365134
Generator,KZ,KZ_WS_HVELEC_WTON,WTON,KZ_WS_HVELEC,166191
Generator,KZ,KZ_NR_HVELEC_WTOF,WTOF,KZ_NR_HVELEC,0
Generator,KZ,KZ_SO_HVELEC_WTOF,WTOF,KZ_SO_HVELEC,0
Generator,KZ,KZ_WS_HVELEC_WTOF,WTOF,KZ_WS_HVELEC,327419
Generator,KZ,KZ_NR_HVELEC_HROR,HROR,KZ_NR_HVELEC,3500
Generator,KZ,KZ_SO_HVELEC_HROR,HROR,KZ_SO_HVELEC,3500
Generator,KZ,KZ_WS_HVELEC_HROR,HROR,KZ_WS_HVELEC,0
Generator,UZ,UZ_UZ_HVELEC_PHOT,PHOT,UZ_UZ_HVELEC,356540
Generator,UZ,UZ_UZ_HVELEC_RTPV,RTPV,UZ_UZ_HVELEC,356540
Generator,UZ,UZ_UZ_HVELEC_WTON,WTON,UZ_UZ_HVELEC,290240
Generator,KZ,UZ_UZ_HVELEC_WTOF,WTOF,UZ_UZ_HVELEC,0
Generator,UZ,UZ_UZ_HVELEC_HROR,HROR,UZ_UZ_HVELEC,8000
Generator,UZ,UZ_UZ_HVELEC_HDAM,HDAM,UZ_UZ_HVELEC,8000
Generator,KG,KG_KG_HVELEC_PHOT,PHOT,KG_KG_HVELEC,88540
Generator,KG,KG_KG_HVELEC_RTPV,RTPV,KG_KG_HVELEC,88540
Generator,KG,KG_KG_HVELEC_WTON,WTON,KG_KG_HVELEC,70400
Generator,KG,KG_KG_HVELEC_WTOF,WTOF,KG_KG_HVELEC,0
Generator,KG,KG_KG_HVELEC_HROR,HROR,KG_KG_HVELEC,21500
Generator,KG,KG_KG_HVELEC_HDAM,HDAM,KG_KG_HVELEC,21500
